Evaluation Summary Report | Date: 2025-12-22 18:59:00
=============================================
Level      | Correct/Total      | Accuracy %
---------------------------------------------
0          | 119/315               | 37.78%
  - PRIMARY  : 107/219 (48.86%)
  - ADVANCED : 12/96 (12.50%)
1          | 111/307               | 36.16%
  - PRIMARY  : 94/210 (44.76%)
  - ADVANCED : 17/97 (17.53%)
2          | 211/345               | 61.16%
  - PRIMARY  : 177/239 (74.06%)
  - ADVANCED : 34/106 (32.08%)
3          | 219/383               | 57.18%
  - PRIMARY  : 198/270 (73.33%)
  - ADVANCED : 21/113 (18.58%)
4          | 213/389               | 54.76%
  - PRIMARY  : 197/268 (73.51%)
  - ADVANCED : 16/121 (13.22%)
5          | 218/396               | 55.05%
  - PRIMARY  : 164/258 (63.57%)
  - ADVANCED : 54/138 (39.13%)
6          | 211/393               | 53.69%
  - PRIMARY  : 179/268 (66.79%)
  - ADVANCED : 32/125 (25.60%)
=============================================
